,LEA_STATE_NAME,LEAID,LEA_NAME,banned_books,LEA_ENR,SCH_FTETEACH_TOT,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB
44,FLORIDA,1201320,MONROE,False,8500,0.06592470588235294,11.31764705882353,10.16470588235294,0.0588235294117647,,,
45,FLORIDA,1201350,NASSAU,False,11876,0.05567025934658134,10.382283597170765,6.138430447962277,0.09262377905018525,,,
46,FLORIDA,1201380,OKALOOSA,False,31683,0.05974339551178865,6.542941009374112,8.0358551904807,0.4765962819177477,,,
47,FLORIDA,1201410,OKEECHOBEE,False,6410,0.059917316692667706,8.28393135725429,2.1216848673946958,0.26521060842433697,,,
48,FLORIDA,1201440,ORANGE,True,204738,0.053771161191376295,12.698668542234465,13.492365852943763,0.23835340776993036,,,
49,FLORIDA,1201470,OSCEOLA,True,65930,0.05995722736235401,13.060822084028514,7.855301076899742,0.24419839223418777,,,
50,FLORIDA,1201500,PALM BEACH,True,193458,0.06243965098367605,10.768228762832242,6.726007712268296,0.004652172564587663,,,
51,FLORIDA,1201530,PASCO,False,73682,0.05463071034988193,6.798132515404033,6.196900192720067,0.16557639586330447,,,
52,FLORIDA,1201560,PINELLAS,True,101650,0.07984643384161338,10.181997048696507,8.291195277914412,0.3246433841613379,,,
53,FLORIDA,1201590,POLK,True,104040,0.058717800845828526,7.851787773933102,5.442137639369473,0.22202998846597463,,,
54,FLORIDA,1201620,PUTNAM,False,11143,0.05263753028807323,7.547339136677735,2.620479224625325,0.7807592210356278,,,
55,FLORIDA,1201650,SANTA ROSA,True,27850,0.05912531418312388,8.908438061041293,4.786355475763016,0.13285457809694795,,,
56,FLORIDA,1201680,SARASOTA,True,42901,0.07079671802522086,7.407752733036525,5.8879746392857975,0.10256171184820867,,,
57,FLORIDA,1201710,SEMINOLE,True,67905,0.05325881746557691,13.917973639643618,11.784110153891467,0.20911567631249542,,,
58,FLORIDA,1201740,ST. JOHNS,True,40189,0.05192042598721043,9.146781457612779,10.793998357759586,0.17168877055910822,,,
59,FLORIDA,1201770,ST. LUCIE,True,40846,0.059011408705870835,10.715859570092542,2.600009792880576,0.2521666748274005,,,
60,FLORIDA,1201800,SUMTER,False,8648,0.06228492136910268,7.990286771507864,7.735892691951897,0.23126734505087881,,,
61,FLORIDA,1201830,SUWANNEE,False,6127,0.05564060714868614,6.2999836787987595,2.5134649910233393,0.16321201240411295,,,
62,FLORIDA,1201860,TAYLOR,False,2846,0.058678847505270554,7.624736472241743,3.1271960646521437,0.3865073787772312,,,
63,FLORIDA,1201890,UNION,False,2328,0.0657044673539519,7.3883161512027495,1.0309278350515463,0.3436426116838488,,,
64,FLORIDA,1201920,VOLUSIA,True,62893,0.06313119107054839,5.506177158030305,5.595217273782456,0.31959041546754013,,,
65,FLORIDA,1201950,WAKULLA,False,5190,0.06194605009633911,5.163776493256262,6.339113680154143,0.9826589595375723,,,
66,FLORIDA,1201980,WALTON,True,9480,0.06408016877637131,9.578059071729959,7.552742616033756,0.3270042194092827,,,
67,FLORIDA,1202010,WASHINGTON,False,3357,0.06616026213881442,9.562109025915996,2.829907655644921,0.08936550491510277,,,
68,FLORIDA,1202012,FAU LAB SCH,False,2555,0.05860273972602739,7.632093933463796,,0.0,,,
69,FLORIDA,1202013,FSU LAB SCH,False,2405,0.05783783783783784,7.983367983367984,11.01871101871102,0.08316008316008316,,,
70,FLORIDA,1202014,FAMU LAB SCH,False,586,0.07337883959044368,8.020477815699659,1.877133105802048,0.0,,,
71,FLORIDA,1202015,UF LAB SCH,False,1153,0.05290546400693842,14.397224631396357,22.549869904596704,0.0,,,
72,FLORIDA,1202016,DEAF/BLIND,False,545,0.1688073394495413,17.79816513761468,,0.0,,,
