,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,County Name,overall_TPI,Closest_Match,Median Household Income,School District,dist_key
58,TEXAS,4800095,A W BROWN LEADERSHIP ACADEMY,2139,False,0.05053763440860215,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
59,TEXAS,4800098,JEAN MASSIEU ACADEMY,195,False,0.08205128205128205,tarrant,tarrant,0.53,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
60,TEXAS,4800105,WAXAHACHIE FAITH FAMILY ACADEMY,2446,False,0.05928045789043336,dallas,dallas,-0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
61,TEXAS,4800106,PASO DEL NORTE ACADEMY CHARTER DISTRICT,217,False,0.06368663594470046,el paso,el paso,-0.685,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
62,TEXAS,4800108,ODYSSEY ACADEMY INC,1150,False,0.06521739130434782,galveston,galveston,0.63,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
63,TEXAS,4800109,EAST TEXAS CHARTER SCHOOLS,140,False,0.08214285714285714,gregg,gregg,0.71,HART,43523.0,"Hart Independent School District / 1,534",HART
64,TEXAS,4800113,AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH,513,False,0.053294346978557505,harris,harris,-0.54,,,,
65,TEXAS,4800115,HOUSTON HEIGHTS HIGH SCHOOL,194,False,0.08402061855670104,harris,harris,-0.54,HOUSTON,46069.0,"Houston Independent School District / 1,397,288",HOUSTON
66,TEXAS,4800118,HOUSTON GATEWAY ACADEMY INC,2263,False,0.049491825011047284,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
67,TEXAS,4800124,CALVIN NELMS CHARTER SCHOOLS,311,False,0.05787781350482315,harris,harris,-0.54,ALVIN,66790.0,"Alvin Independent School District / 94,642",ALVIN
68,TEXAS,4800125,SOUTHWEST SCHOOL,2025,False,0.05925925925925926,harris,harris,-0.54,WEST,48673.0,"West Independent School District / 7,859",WEST
69,TEXAS,4800127,COMQUEST ACADEMY,75,False,0.07,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
70,TEXAS,4800132,KATHERINE ANNE PORTER SCHOOL,162,False,0.07407407407407407,hays,hays,-0.54,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE,57083.0,Stephenville Independent School Distict (9-12) in Bluff Dale / 915,STEPHENVILLE INDEPENDENT SCHOOL DISTICT (9-12) IN BLUFF DALE
71,TEXAS,4800133,MIDVALLEY ACADEMY CHARTER DISTRICT,384,False,0.04296875,cameron,cameron,-0.5900000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
72,TEXAS,4800139,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,495,False,0.08062626262626262,jefferson,jefferson,0.52,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
73,TEXAS,4800141,RISE ACADEMY,307,False,0.07003257328990228,lubbock,lubbock,0.6900000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
74,TEXAS,4800142,SOUTH PLAINS ACADEMY CHARTER DISTRICT,200,False,0.055,lubbock,lubbock,0.6900000000000001,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
75,TEXAS,4800148,MIDLAND ACADEMY CHARTER SCHOOL,415,False,0.07710843373493977,midland,midland,0.8,MIDLAND,66007.0,"Midland Independent School District / 138,502",MIDLAND
76,TEXAS,4800151,TEXAS SERENITY ACADEMY,504,False,0.05357142857142857,harris,harris,-0.54,ACADEMY,62772.0,"Academy Independent School District / 5,003",ACADEMY
