,LEA_STATE_NAME,LEAID,LEA_NAME,County Name,banned_books,LEA_ENR,SCH_FTETEACH_TOT,overall_TPI,SATACT_P,APENR_P,P_EXPULSIONS,TOT_DIS_HB,TOT_RAC_HB,TOT_SEX_HB,Median Household Income,number_bans
67,TEXAS,4800124,CALVIN NELMS CHARTER SCHOOLS,harris,FALSE,311,0.057877814,-0.54,4.501607717,,0,0,0,0,66790,
68,TEXAS,4800125,SOUTHWEST SCHOOL,harris,FALSE,2025,0.059259259,-0.54,4.543209877,2.567901235,0,0,0,0,48673,
69,TEXAS,4800127,COMQUEST ACADEMY,harris,FALSE,75,0.07,-0.54,0,,0,0,0,0,62772,
70,TEXAS,4800132,KATHERINE ANNE PORTER SCHOOL,hays,FALSE,162,0.074074074,-0.54,20.37037037,14.81481481,1.851851852,0,0,0,57083,
71,TEXAS,4800133,MIDVALLEY ACADEMY CHARTER DISTRICT,cameron,FALSE,384,0.04296875,-0.59,2.864583333,,0,0,0,0,62772,
72,TEXAS,4800139,TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL,jefferson,FALSE,495,0.080626263,0.52,0.808080808,1.616161616,2.626262626,0,0,0,62772,
73,TEXAS,4800141,RISE ACADEMY,lubbock,FALSE,307,0.070032573,0.69,,,0,0,0,0,62772,
74,TEXAS,4800142,SOUTH PLAINS ACADEMY CHARTER DISTRICT,lubbock,FALSE,200,0.055,0.69,6.5,,2.5,0,0,0,62772,
75,TEXAS,4800148,MIDLAND ACADEMY CHARTER SCHOOL,midland,FALSE,415,0.077108434,0.8,,,0,0,0,0,66007,
76,TEXAS,4800151,TEXAS SERENITY ACADEMY,harris,FALSE,504,0.053571429,-0.54,,,0,0,0,0,62772,
77,TEXAS,4800158,ARLINGTON CLASSICS ACADEMY,tarrant,FALSE,1533,0.057729941,0.53,0,,0,0,0,0,62772,
78,TEXAS,4800159,ERATH EXCELS ACADEMY INC,erath,FALSE,115,0.104347826,0.835,2.608695652,,0,0,0,0,62772,
79,TEXAS,4800163,TEXAS COLLEGE PREPARATORY ACADEMIES,denton,FALSE,13093,0.063215459,0.58,0.099289697,,1.833040556,0,0,0,46297,
80,TEXAS,4800171,RANCH ACADEMY,van zandt,FALSE,101,0.089108911,0.875,0,,0,0,0,0,62772,
81,TEXAS,4800174,GATEWAY ACADEMY CHARTER DISTRICT,webb,FALSE,321,0.059968847,-0.67,0,4.049844237,0,0,0,0,62772,
82,TEXAS,4800177,ST MARY'S ACADEMY CHARTER SCHOOL,bee,FALSE,457,0.060175055,0.64,,,0,0,0,0,62772,
83,TEXAS,4800179,JUBILEE ACADEMIES,bexar,FALSE,5649,0.067445566,-0.57,2.318994512,1.239157373,0,0,0,0,,
84,TEXAS,4800184,GATEWAY CHARTER ACADEMY,dallas,FALSE,757,0.072536328,-0.63,4.491413474,,0,0,0,0,62772,
85,TEXAS,4800186,EDUCATION CENTER INTERNATIONAL ACADEMY,dallas,FALSE,544,0.068014706,-0.63,,,0,0,0,0,62772,
86,TEXAS,4800187,NORTH TEXAS COLLEGIATE ACADEMY,denton,FALSE,526,0.072243346,0.58,,,0,0,0,0,62772,
87,TEXAS,4800190,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,harris,FALSE,445,0.074157303,-0.54,,,0,0,0,0,57083,
88,TEXAS,4800192,ACCELERATED INTERMEDIATE ACADEMY,dallas,FALSE,272,0.080882353,-0.63,,,0,0,0,0,62772,
89,TEXAS,4800194,TEXAS PREPARATORY SCHOOL,hays,FALSE,249,0.096385542,-0.54,,,0,0,0,0,57083,
90,TEXAS,4800195,VANGUARD ACADEMY,hidalgo,FALSE,3283,0.05975632,-0.625,1.797136765,5.604629912,0,0,0,0,62772,
91,TEXAS,4800201,NOVA ACADEMY (SOUTHEAST),dallas,FALSE,543,0.075506446,-0.63,,,0,0,0,0,62772,
92,TEXAS,4800202,WINFREE ACADEMY CHARTER SCHOOLS,dallas,FALSE,1252,0.046709265,-0.63,1.437699681,,0.079872204,0,0,1,62772,
93,TEXAS,4800203,A+ ACADEMY,dallas,FALSE,1352,0.056360947,-0.63,5.325443787,0.813609467,0.073964497,0,0,0,62772,
94,TEXAS,4800204,INSPIRED VISION ACADEMY,dallas,FALSE,1320,0.062424242,-0.63,4.015151515,6.666666667,0,0,0,0,62772,
95,TEXAS,4800205,EL PASO ACADEMY,el paso,FALSE,453,0.04415011,-0.685,0,,0,0,0,0,62772,
96,TEXAS,4800207,PREMIER HIGH SCHOOLS,hidalgo,FALSE,7276,0.040074217,-0.625,1.22319956,,0.027487631,0,0,0,44861,
97,TEXAS,4800209,YES PREP PUBLIC SCHOOLS INC,harris,FALSE,10860,0.062154696,-0.54,14.24493554,24.08839779,0.44198895,0,1,0,,
98,TEXAS,4800210,HARMONY SCIENCE ACADEMY,harris,FALSE,3410,0.064516129,-0.54,11.02639296,10.79178886,0.175953079,0,0,5,62772,
99,TEXAS,4800211,IDEA PUBLIC SCHOOLS,hidalgo,FALSE,35595,0.054726507,-0.625,6.158168282,14.2154797,0.005618767,0,0,0,,
100,TEXAS,4800213,PANOLA CHARTER SCHOOL,panola,FALSE,147,0.034013605,0.825,0.680272109,,0,0,0,0,43523,
