Median Household Income,School District
"$59,652","Fort Sam Houston Independent School District / 6,686"
"$59,500","Centerville Independent School District / 1,040"
"$59,464","Moulton Independent School District / 2,322"
"$59,452","Tuloso-Midway Independent School District / 12,492"
"$59,319","Bridge City Independent School District / 13,434"
"$59,307","Denton Independent School District / 169,647"
"$59,248","Little Cypress-Mauriceville Consolidated Independent School District / 19,792"
"$59,231",Sweet Home Independent School District / 958
"$59,034","New Waverly Independent School District / 5,112"
"$58,974","Waxahachie Independent School District / 43,059"
"$58,872","Marion Independent School District / 6,938"
"$58,783","Willis Independent School District / 35,185"
"$58,681","Rogers Independent School District / 4,013"
"$58,603","Douglass Independent School District / 1,979"
"$58,435","Stafford Municipal School District / 17,528"
"$58,365","Franklin Independent School District / 5,353"
"$58,333","Bosqueville Independent School District / 2,181"
"$58,300","Grandview Independent School District / 4,869"
"$58,252","North East Independent School District / 412,978"
"$58,185","Troy Independent School District / 6,187"
"$58,182","Shallowater Independent School District / 4,997"
"$58,173",Texline Independent School District / 991
"$58,086","White Oak Independent School District / 6,548"
"$58,068",Gold-Burg Independent School District / 804
"$57,982","Dayton Independent School District / 27,385"
"$57,917","Burton Independent School District / 2,974"
"$57,917","Palmer Independent School District / 5,620"
"$57,898",La Gloria Independent School District / 293
"$57,880","Howe Independent School District / 5,956"
"$57,734","Jourdanton Independent School District / 6,481"
"$57,651","Springtown Independent School District / 19,521"
"$57,644","Lipan Independent School District / 2,357"
"$57,589","Elkhart Independent School District / 6,349"
"$57,500","Decatur Independent School District / 14,651"
"$57,500",Star Independent School District / 478
"$57,500","Tolar Independent School District / 2,997"
"$57,404",Westbrook Independent School District / 775
"$57,379","Maypearl Independent School District / 4,043"
"$57,361","Rankin Independent School District / 1,057"
"$57,306","Lindale Independent School District / 19,763"
"$57,287","Canadian Independent School District / 3,893"
"$57,214","Garland Independent School District / 284,041"
"$57,178","Nederland Independent School District / 27,248"
"$57,162","Birdville Independent School District / 134,105"
"$57,113","Paradise Independent School District / 4,812"
"$57,083",Bluff Dale Independent School District / 915
"$57,083",Stephenville Independent School Distict (9-12) in Bluff Dale / 915
"$57,069","Winona Independent School District / 5,228"
"$56,917","Millsap Independent School District / 4,096"
"$56,875",Leveretts Chapel Independent School District / 887
"$56,827","Cushing Independent School District / 2,881"
"$56,778","Chapel Hill Independent School District / 3,840"
"$56,736",Rochelle Independent School District / 851
"$56,574","Sealy Independent School District / 13,159"
"$56,500","Evadale Independent School District / 1,548"
"$56,500",Spring Creek Independent School District / 84
"$56,484","Dime Box Independent School District / 1,475"
"$56,409","Alvarado Independent School District / 17,906"
"$56,391","Angleton Independent School District / 38,052"
"$56,346",Hermleigh Independent School District / 787
"$56,324","Garner Independent School District / 3,305"
"$56,295","Scurry-Rosser Independent School District / 4,093"
"$56,250","Abbott Independent School District / 1,218"
"$56,245","Columbia-Brazoria Independent School District / 18,763"
"$56,181","Sharyland Independent School District / 42,357"
"$56,121","Sabine Independent School District / 5,502"
"$56,118","Elgin Independent School District / 20,289"
"$56,097","Odem-Edroy Independent School District / 4,313"
"$56,071","Bynum Independent School District / 1,066"
"$56,071",Dodd City Independent School District / 913
"$55,988","Seminole Independent School District / 15,166"
"$55,878","Manor Independent School District / 38,835"
"$55,847","Brazosport Independent School District / 62,345"
"$55,750","Orange Grove Independent School District / 8,616"
"$55,726","River Road Independent School District / 7,580"
"$55,723","Weatherford Independent School District / 48,824"
"$55,588","Richards Independent School District / 1,556"
"$55,577",Prairie Valley Independent School District / 737
"$55,450","S and S Consolidated Independent School District / 3,929"
"$55,431","Frenship Independent School District / 42,216"
"$55,358","North Lamar Independent School District / 17,764"
"$55,284","Lytle Independent School District / 7,471"
"$55,193","Pleasanton Independent School District / 16,739"
"$55,179","Gholson Independent School District / 1,229"
"$55,144","Jarrell Independent School District / 8,059"
"$55,000",Meadow Independent School District / 999
"$54,989","Bullard Independent School District / 11,887"
"$54,940","Collinsville Independent School District / 2,988"
"$54,903","Ector County Independent School District / 144,932"
"$54,889","Bastrop Independent School District / 47,523"
"$54,886","Irion County Independent School District / 1,626"
"$54,878","White Settlement Independent School District / 32,349"
"$54,818","Hurst-Euless-Bedford Independent School District / 144,428"
"$54,792",San Vincente Independent School District / 150
"$54,727","East Central Independent School District / 47,275"
"$54,639","Caldwell Independent School District / 9,837"
"$54,621","Granbury Independent School District / 48,492"
"$54,583","Ricardo Independent School District / 3,782"
"$54,375",Harrold Independent School District / 125
"$54,352","Freer Independent School District / 2,907"
"$54,327",Malone Independent School District / 572
"$54,255","Burkburnett Independent School District / 19,551"
"$54,239",Groom Independent School District / 646
"$54,231","New Caney Independent School District / 53,655"
"$54,183","Harts Bluff Independent School District / 2,834"
"$54,167","Ben Bolt-Palito Blanco Independent School District / 2,375"
"$54,167",Highland Independent School District / 249
"$54,167","Vega Independent School District / 1,044"
"$53,989","Port Neches-Groves Independent School District / 26,030"
"$53,988","Richardson Independent School District / 227,419"
"$53,981","Anderson-Shiro Consolidated Independent School District / 3,367"
"$53,848","Pottsboro Independent School District / 8,114"
"$53,839","Sweeny Independent School District / 9,944"
"$53,813","Eden Consolidated Independent School District / 3,430"
"$53,768","Fredericksburg Independent School District / 22,257"
"$53,689","Beckville Independent School District / 2,433"
"$53,676","Austin Independent School District / 675,107"
"$53,571","Smyer Independent School District / 2,020"
"$53,295","Whiteface Consolidated Independent School District / 1,019"
"$53,281","Hallsburg Independent School District / 1,095"
"$53,274","Natalia Independent School District / 5,858"
"$53,235","New Diana Independent School District / 3,944"
"$53,192","Copperas Cove Independent School District / 36,922"
"$53,144","Woden Independent School District / 3,171"
"$53,068","Albany Independent School District / 2,799"
"$53,000","Normangee Independent School District / 2,837"
"$52,991","Spring Independent School District / 178,081"
"$52,969","Sundown Independent School District / 1,429"
"$52,923","Sanford-Fritch Independent School District / 5,341"
"$52,895","Highland Park Independent School District / 7,496"
"$52,750",Dawson Independent School District / 335
"$52,692","Reagan County Independent School District / 3,520"
"$52,688","Blue Ridge Independent School District / 3,535"
"$52,651","Thorndale Independent School District / 3,008"
"$52,596",Murchison Independent School District / 726
"$52,585","Bishop Consolidated Independent School District / 5,430"
"$52,574","Sunray Independent School District / 2,533"
"$52,500","Farmersville Independent School District / 8,402"
"$52,500",Guthrie Common School District / 262
"$52,500","Petrolia Independent School District / 2,974"
"$52,451","Crane Independent School District / 4,602"
"$52,417","Coahoma Independent School District / 3,226"
"$52,386","Martinsville Independent School District / 1,226"
"$52,279","McDade Independent School District / 2,153"
"$52,279","Elgin/Giddings Independent School Districts (9-12) in McDade / 2,153"
"$52,250",Northside Independent School District / 246
"$52,240","Lexington Independent School District / 5,555"
"$52,132","Comfort Independent School District / 7,567"
"$52,127","Burnet Consolidated Independent School District / 21,985"
"$52,125","Ector Independent School District / 3,166"
