,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ENR,banned_books,SCH_FTETEACH_TOT,NMCNTY,overall_TPI,Closest_Match,Median Household Income,School District,dist_key,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
260,TEXAS,4810440,BLOOMBURG ISD,277,False,0.0884476534296028,cass,0.81,BLOOMBURG,40694.0,"Bloomburg Independent School District / 1,435",BLOOMBURG,0.010648766430027413,0.3255429816546004,0.05587966542489632,0.4227173683840585,0.04438743234694595
261,TEXAS,4810470,BLOOMING GROVE ISD,947,False,0.0748680042238648,navarro,0.75,BLOOMING GROVE,45260.0,"Blooming Grove Independent School District / 3,722",BLOOMING GROVE,0.04537853450896929,0.5495781392520523,0.015012161751292186,0.19534813013073882,0.059079507449072664
262,TEXAS,4810500,BLOOMINGTON ISD,866,False,0.0781986143187067,victoria,0.715,BLOOMINGTON,44152.0,"Bloomington Independent School District / 4,126",BLOOMINGTON,0.263198239139719,0.4361961913730986,0.0795672313538256,0.10982380446566432,0.020280554977605975
263,TEXAS,4810590,BLUE RIDGE ISD,825,False,0.069090909090909,collin,0.5700000000000001,BLUE RIDGE,52688.0,"Blue Ridge Independent School District / 3,535",BLUE RIDGE,0.1320494332833865,0.5277543178967838,0.08196417918860649,0.08222252493036408,0.045815503562822636
264,TEXAS,4810620,BLUFF DALE ISD,189,False,0.082010582010582,erath,0.835,BLUFF DALE,57083.0,Bluff Dale Independent School District / 915,BLUFF DALE,0.07309907157127747,0.5239628628510988,0.029380655776236924,0.2282994476436714,0.05333176636502527
265,TEXAS,4810650,BLUM ISD,353,False,0.0878186968838526,hill,0.8200000000000001,BLUM,42500.0,"Blum Independent School District / 1,624",BLUM,0.15077772202709483,0.384679712326476,0.04571556001561019,0.23440374644589396,0.03961086023303786
266,TEXAS,4810710,BOERNE ISD,8687,False,0.0612064003683665,kendall,0.8,BOERNE,87680.0,"Boerne Independent School District / 37,232",BOERNE,0.37453420357279976,0.22834752365681243,0.10772601007249487,0.11956006233203098,0.05847015515255539
267,TEXAS,4810740,BOLES ISD,543,False,0.0895027624309392,hunt,0.78,BOLES,44205.0,Boles Independent School District / 716,BOLES,0.02651166513265837,0.5739125215094641,0.06146704550002001,0.21138300852375044,0.021699547801032455
268,TEXAS,4810780,BOLING ISD,1122,False,0.0632798573975044,wharton,0.735,BOLING,33083.0,"Boling Independent School District / 4,021",BOLING,0.35857589607890306,0.2667548713014193,0.08948761125811884,0.13310079384171278,0.03406302622083233
269,TEXAS,4810800,BONHAM ISD,1872,False,0.071741452991453,fannin,0.8250000000000001,BONHAM,41088.0,"Bonham Independent School District / 13,995",BONHAM,0.030564746789299536,0.5021311199596209,0.028882283663283045,0.3073860131232124,0.03059278784139981
270,TEXAS,4810830,BOOKER ISD,390,False,0.0971794871794871,lipscomb,0.905,BOOKER,63542.0,"Booker Independent School District / 1,675",BOOKER,0.2451781627983001,0.08630271330500161,0.09807126511932004,0.2520431513566525,0.18764302059496568
271,TEXAS,4810860,BORDEN COUNTY ISD,233,False,0.0854077253218884,borden,0.955,BORDEN COUNTY,75000.0,Borden County Independent School District / 679,BORDEN COUNTY,0.0,0.5657686212361331,0.0,0.40253565768621236,0.0
272,TEXAS,4810890,BORGER ISD,2731,False,0.077261076528744,hutchinson,0.895,BORGER,45539.0,"Borger Independent School District / 14,618",BORGER,0.03637774651986225,0.4690304117960906,0.10573798321773294,0.2285007518067614,0.027113547072803997
273,TEXAS,4810910,BOSQUEVILLE ISD,711,False,0.0864978902953586,mclennan,0.65,BOSQUEVILLE,58333.0,"Bosqueville Independent School District / 2,181",BOSQUEVILLE,0.19801672429474362,0.4266575587441812,0.05594464634525422,0.17967295906423772,0.0369830262607501
274,TEXAS,4810950,BOVINA ISD,517,False,0.086073500967118,parmer,0.835,BOVINA,41429.0,"Bovina Independent School District / 2,198",BOVINA,0.11652649711216942,0.4153409666632891,0.03039821663795724,0.25341979937177017,0.06586280271557401
275,TEXAS,4810990,BOWIE ISD,1696,False,0.0738207547169811,montague,0.89,BOWIE,45939.0,"Bowie Independent School District / 10,103",BOWIE,0.0641121963436013,0.563335837716003,0.04157275231655397,0.19348860505885299,0.030503380916604057
276,TEXAS,4811010,BOYD ISD,1334,False,0.0674662668665667,wise,0.855,BOYD,50382.0,"Boyd Independent School District / 5,566",BOYD,0.07242977036950693,0.5392382562070172,0.1270544352488635,0.1929420678400746,0.023298169949877608
277,TEXAS,4811040,BOYS RANCH ISD,303,False,0.1759405940594059,oldham,0.925,BOYS RANCH,67679.0,Boys Ranch Independent School District / 77,BOYS RANCH,0.08873720136518772,0.7076222980659841,0.08532423208191127,0.09385665529010238,0.0
278,TEXAS,4811070,BRACKETT ISD,585,False,0.097025641025641,kinney,0.73,BRACKETT,32473.0,"Brackett Independent School District / 3,598",BRACKETT,0.3026526046660275,0.40268456375838924,0.0,0.1684244167465644,0.07478427612655801
279,TEXAS,4811110,BRADY ISD,1178,False,0.0792869269949066,mcculloch,0.855,BRADY,39010.0,"Brady Independent School District / 7,205",BRADY,0.11231979030144168,0.5165137614678899,0.08781127129750983,0.11546526867627785,0.02346002621231979
