County Name,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
Brewster County,0.36140791954745444,0.4884768489419652,0.022208254766394302,0.03519798868636078,0.009218520846427823
Briscoe County,0.07317073170731707,0.11358885017421605,0.0,0.4696864111498258,0.1602787456445993
Brooks County,0.60895986433013,0.2836348219332956,0.0423968343697004,0.023883550028264557,0.013143018654607123
Brown County,0.03916524478277989,0.3758498490615566,0.08358052237826487,0.3491271820448878,0.07777923612022575
Burleson County,0.2880625779390092,0.33408910554358917,0.00340097494615123,0.20439859426368892,0.04840721006688584
Burnet County,0.21591695501730104,0.46287400773458176,0.03761449216364746,0.14412782414003664,0.03800122124974557
Caldwell County,0.23167621995074428,0.5451038510995359,0.02310223830176754,0.08685133927598457,0.025129132794281105
Calhoun County,0.2660897244603601,0.04108501903568762,0.011936735302894658,0.24758778474087337,0.05023376106634835
Callahan County,0.01809162532827546,0.48431572804201917,0.07003209804493726,0.2915815582141815,0.06580099212138897
Cameron County,0.36763836139633316,0.4544804604089622,0.07694701164086011,0.027241180284881608,0.006655313205880048
Camp County,0.1678433889602054,0.3567875481386392,0.016046213093709884,0.22809691912708602,0.051829268292682924
Carson County,0.08059238849664198,0.42638195281556746,0.015498536249354228,0.35061133115205784,0.08541415532977441
Cass County,0.010648766430027413,0.3255429816546004,0.05587966542489632,0.4227173683840585,0.04438743234694595
Castro County,0.39017772351105684,0.24691358024691357,0.02035002035002035,0.22290055623388957,0.054945054945054944
Chambers County,0.11060531231882502,0.6433402761375104,0.013527731850293101,0.06970002791436732,0.03418436365978828
Cherokee County,0.10741490121399666,0.40230500674442593,0.06958660636356423,0.24236292946123938,0.047885424105371735
Childress County,0.03751500600240096,0.5370648259303721,0.015006002400960384,0.21158463385354143,0.08163265306122448
Clay County,0.017420238794284598,0.0,0.09297318457623802,0.3365629281659816,0.038559404971618715
Cochran County,0.38594424813506084,0.07734589713388296,0.11778563015312132,0.22654102866117,0.04240282685512368
Coke County,0.03592085235920852,0.2983257229832572,0.0,0.3911719939117199,0.10745814307458143
